"TOA5","CR300Series_NRCS_A3","CR300","20805","CR300-CELL205.Std.10.07","CPU:nrcs_marena_A3.CR300","31781","Table_Batt"
"2022-12-17 16:00:00",150,"Site 1",36.06351,-97.21697,330,13.64,12.64
"2022-12-17 17:00:00",151,"Site 1",36.06351,-97.21697,330,13.21,9.03
"2022-12-17 18:00:00",152,"Site 1",36.06351,-97.21697,330,12.82,1.559
"2022-12-17 19:00:00",153,"Site 1",36.06351,-97.21697,330,12.75,-1.034
"2022-12-17 20:00:00",154,"Site 1",36.06351,-97.21697,330,12.74,-3.083
"2022-12-17 21:00:00",155,"Site 1",36.06351,-97.21697,330,12.8,-4.307
"2022-12-17 22:00:00",156,"Site 1",36.06351,-97.21697,330,12.79,-4.025
"2022-12-17 23:00:00",157,"Site 1",36.06351,-97.21697,330,12.78,-4.35
"2022-12-18 00:00:00",158,"Site 1",36.06351,-97.21697,330,12.78,-4.516
"2022-12-18 01:00:00",159,"Site 1",36.06351,-97.21697,330,12.77,-4.898
"2022-12-18 02:00:00",160,"Site 1",36.06351,-97.21697,330,12.76,-5.652
"2022-12-18 03:00:00",161,"Site 1",36.06351,-97.21697,330,12.76,-6.264
"2022-12-18 04:00:00",162,"Site 1",36.06351,-97.21697,330,12.75,-6.007
"2022-12-18 05:00:00",163,"Site 1",36.06351,-97.21697,330,12.75,-6.226
"2022-12-18 06:00:00",164,"Site 1",36.06351,-97.21697,330,12.74,-6.323
"2022-12-18 07:00:00",165,"Site 1",36.06351,-97.21697,330,12.74,-7.006
"2022-12-18 08:00:00",166,"Site 1",36.06351,-97.21697,330,12.74,-6.836
"2022-12-18 09:00:00",167,"Site 1",36.06351,-97.21697,330,14.22,0.905
"2022-12-18 10:00:00",168,"Site 1",36.06351,-97.21697,330,14,9.28
"2022-12-18 11:00:00",169,"Site 1",36.06351,-97.21697,330,13.9,13.47
"2022-12-18 12:00:00",170,"Site 1",36.06351,-97.21697,330,13.83,16.48
"2022-12-18 13:00:00",171,"Site 1",36.06351,-97.21697,330,13.8,18.15
"2022-12-18 14:00:00",172,"Site 1",36.06351,-97.21697,330,13.76,18.43
"2022-12-18 15:00:00",173,"Site 1",36.06351,-97.21697,330,13.41,16.04
"2022-12-18 16:00:00",174,"Site 1",36.06351,-97.21697,330,13.04,12.66
"2022-12-18 17:00:00",175,"Site 1",36.06351,-97.21697,330,12.81,10.84
"2022-12-18 18:00:00",176,"Site 1",36.06351,-97.21697,330,12.75,8.88
"2022-12-18 19:00:00",177,"Site 1",36.06351,-97.21697,330,12.72,7.387
"2022-12-18 20:00:00",178,"Site 1",36.06351,-97.21697,330,12.71,5.08
"2022-12-18 21:00:00",179,"Site 1",36.06351,-97.21697,330,12.79,5.033
"2022-12-18 22:00:00",180,"Site 1",36.06351,-97.21697,330,12.79,5.193
"2022-12-18 23:00:00",181,"Site 1",36.06351,-97.21697,330,12.79,5.785
"2022-12-19 00:00:00",182,"Site 1",36.06351,-97.21697,330,12.78,5.632
"2022-12-19 01:00:00",183,"Site 1",36.06351,-97.21697,330,12.78,5.437
"2022-12-19 02:00:00",184,"Site 1",36.06351,-97.21697,330,12.78,5.132
"2022-12-19 03:00:00",185,"Site 1",36.06351,-97.21697,330,12.78,5.286
"2022-12-19 04:00:00",186,"Site 1",36.06351,-97.21697,330,12.77,5.264
"2022-12-19 05:00:00",187,"Site 1",36.06351,-97.21697,330,12.77,5.239
"2022-12-19 06:00:00",188,"Site 1",36.06351,-97.21697,330,12.77,5.216
"2022-12-19 07:00:00",189,"Site 1",36.06351,-97.21697,330,12.77,5.033
"2022-12-19 08:00:00",190,"Site 1",36.06351,-97.21697,330,12.77,4.983
"2022-12-19 09:00:00",191,"Site 1",36.06351,-97.21697,330,12.81,5.413
"2022-12-19 10:00:00",192,"Site 1",36.06351,-97.21697,330,12.92,8.59
"2022-12-19 11:00:00",193,"Site 1",36.06351,-97.21697,330,13.14,11.83
"2022-12-19 12:00:00",194,"Site 1",36.06351,-97.21697,330,13.8,17.15
"2022-12-19 13:00:00",195,"Site 1",36.06351,-97.21697,330,13.8,18.34
"2022-12-19 14:00:00",196,"Site 1",36.06351,-97.21697,330,13.77,18.68
"2022-12-19 15:00:00",197,"Site 1",36.06351,-97.21697,330,13.69,16.33
"2022-12-19 16:00:00",198,"Site 1",36.06351,-97.21697,330,13.8,16.37
"2022-12-19 17:00:00",199,"Site 1",36.06351,-97.21697,330,13.3,10.7
"2022-12-19 18:00:00",200,"Site 1",36.06351,-97.21697,330,12.96,7.329
"2022-12-19 19:00:00",201,"Site 1",36.06351,-97.21697,330,12.89,6.051
"2022-12-19 20:00:00",202,"Site 1",36.06351,-97.21697,330,12.87,5.374
"2022-12-19 21:00:00",203,"Site 1",36.06351,-97.21697,330,12.85,4.776
"2022-12-19 22:00:00",204,"Site 1",36.06351,-97.21697,330,12.83,4.006
"2022-12-19 23:00:00",205,"Site 1",36.06351,-97.21697,330,12.82,3.66
"2022-12-20 00:00:00",206,"Site 1",36.06351,-97.21697,330,12.81,3.496
"2022-12-20 01:00:00",207,"Site 1",36.06351,-97.21697,330,12.8,3.295
"2022-12-20 02:00:00",208,"Site 1",36.06351,-97.21697,330,12.8,3.236
"2022-12-20 03:00:00",209,"Site 1",36.06351,-97.21697,330,12.79,3.179
"2022-12-20 04:00:00",210,"Site 1",36.06351,-97.21697,330,12.78,2.562
"2022-12-20 05:00:00",211,"Site 1",36.06351,-97.21697,330,12.78,0.9
"2022-12-20 06:00:00",212,"Site 1",36.06351,-97.21697,330,12.77,-1.078
"2022-12-20 07:00:00",213,"Site 1",36.06351,-97.21697,330,12.76,-1.717
"2022-12-20 08:00:00",214,"Site 1",36.06351,-97.21697,330,12.75,-2.464
"2022-12-20 09:00:00",215,"Site 1",36.06351,-97.21697,330,12.76,-2.788
"2022-12-20 10:00:00",216,"Site 1",36.06351,-97.21697,330,12.65,-0.879
"2022-12-20 11:00:00",217,"Site 1",36.06351,-97.21697,330,12.67,-0.785
"2022-12-20 12:00:00",218,"Site 1",36.06351,-97.21697,330,12.74,-0.146
"2022-12-20 13:00:00",219,"Site 1",36.06351,-97.21697,330,12.8,0.223
"2022-12-20 14:00:00",220,"Site 1",36.06351,-97.21697,330,13.11,-1.464
"2022-12-20 15:00:00",221,"Site 1",36.06351,-97.21697,330,13.42,-1.079
"2022-12-20 16:00:00",222,"Site 1",36.06351,-97.21697,330,13.63,-0.785
"2022-12-20 17:00:00",223,"Site 1",36.06351,-97.21697,330,13.45,-1.619
"2022-12-20 18:00:00",224,"Site 1",36.06351,-97.21697,330,13.11,-4.55
"2022-12-20 19:00:00",225,"Site 1",36.06351,-97.21697,330,12.97,-6.712
"2022-12-20 20:00:00",226,"Site 1",36.06351,-97.21697,330,12.89,-7.405
"2022-12-20 21:00:00",227,"Site 1",36.06351,-97.21697,330,12.84,-7.895
"2022-12-20 22:00:00",228,"Site 1",36.06351,-97.21697,330,12.8,-7.974
"2022-12-20 23:00:00",229,"Site 1",36.06351,-97.21697,330,12.77,-7.751
"2022-12-21 00:00:00",230,"Site 1",36.06351,-97.21697,330,12.75,-6.957
"2022-12-21 01:00:00",231,"Site 1",36.06351,-97.21697,330,12.73,-6.746
"2022-12-21 02:00:00",232,"Site 1",36.06351,-97.21697,330,12.72,-6.724
"2022-12-21 03:00:00",233,"Site 1",36.06351,-97.21697,330,12.71,-5.391
"2022-12-21 04:00:00",234,"Site 1",36.06351,-97.21697,330,12.71,-4.786
"2022-12-21 05:00:00",235,"Site 1",36.06351,-97.21697,330,12.71,-4.186
"2022-12-21 06:00:00",236,"Site 1",36.06351,-97.21697,330,12.7,-3.978
"2022-12-21 07:00:00",237,"Site 1",36.06351,-97.21697,330,12.7,-3.811
"2022-12-21 08:00:00",238,"Site 1",36.06351,-97.21697,330,12.7,-3.516
"2022-12-21 09:00:00",239,"Site 1",36.06351,-97.21697,330,12.72,-2.837
"2022-12-21 10:00:00",240,"Site 1",36.06351,-97.21697,330,12.62,-0.388
"2022-12-21 11:00:00",241,"Site 1",36.06351,-97.21697,330,12.74,0.809
"2022-12-21 12:00:00",242,"Site 1",36.06351,-97.21697,330,12.99,2.824
"2022-12-21 13:00:00",243,"Site 1",36.06351,-97.21697,330,13.54,5.682
"2022-12-21 14:00:00",244,"Site 1",36.06351,-97.21697,330,13.71,5.154
"2022-12-21 15:00:00",245,"Site 1",36.06351,-97.21697,330,13.42,5.014
"2022-12-21 16:00:00",246,"Site 1",36.06351,-97.21697,330,13.23,4.899
"2022-12-21 17:00:00",247,"Site 1",36.06351,-97.21697,330,13,4.442
"2022-12-21 18:00:00",248,"Site 1",36.06351,-97.21697,330,12.9,3.779
"2022-12-21 19:00:00",249,"Site 1",36.06351,-97.21697,330,12.86,3.594
"2022-12-21 20:00:00",250,"Site 1",36.06351,-97.21697,330,12.83,3.42
"2022-12-21 21:00:00",251,"Site 1",36.06351,-97.21697,330,12.81,2.403
"2022-12-21 22:00:00",252,"Site 1",36.06351,-97.21697,330,12.79,0.915
"2022-12-21 23:00:00",253,"Site 1",36.06351,-97.21697,330,12.77,-0.563
"2022-12-22 00:00:00",254,"Site 1",36.06351,-97.21697,330,12.76,2.051
"2022-12-22 01:00:00",255,"Site 1",36.06351,-97.21697,330,12.75,2.62
"2022-12-22 02:00:00",256,"Site 1",36.06351,-97.21697,330,12.75,3.029
"2022-12-22 03:00:00",257,"Site 1",36.06351,-97.21697,330,12.74,2.437
"2022-12-22 04:00:00",258,"Site 1",36.06351,-97.21697,330,12.73,-6.312
"2022-12-22 05:00:00",259,"Site 1",36.06351,-97.21697,330,12.7,-10.53
"2022-12-22 06:00:00",260,"Site 1",36.06351,-97.21697,330,12.67,-12.53
"2022-12-22 07:00:00",261,"Site 1",36.06351,-97.21697,330,12.65,-14.7
"2022-12-22 08:00:00",262,"Site 1",36.06351,-97.21697,330,12.63,-15.68
"2022-12-22 09:00:00",263,"Site 1",36.06351,-97.21697,330,12.64,-16.46
"2022-12-22 10:00:00",264,"Site 1",36.06351,-97.21697,330,12.5,-14.79
"2022-12-22 11:00:00",265,"Site 1",36.06351,-97.21697,330,12.55,-15.22
"2022-12-22 12:00:00",266,"Site 1",36.06351,-97.21697,330,12.6,-14.88
"2022-12-22 13:00:00",267,"Site 1",36.06351,-97.21697,330,14.48,-11.35
"2022-12-22 14:00:00",268,"Site 1",36.06351,-97.21697,330,14.56,-14.07
"2022-12-22 15:00:00",269,"Site 1",36.06351,-97.21697,330,14.6,-14.26
"2022-12-22 16:00:00",270,"Site 1",36.06351,-97.21697,330,14.42,-15.7
"2022-12-22 17:00:00",271,"Site 1",36.06351,-97.21697,330,14.01,-16.71
"2022-12-22 18:00:00",272,"Site 1",36.06351,-97.21697,330,13.56,-17.59
"2022-12-22 19:00:00",273,"Site 1",36.06351,-97.21697,330,13.34,-18.33
"2022-12-22 20:00:00",274,"Site 1",36.06351,-97.21697,330,13.18,-18.38
"2022-12-22 21:00:00",275,"Site 1",36.06351,-97.21697,330,13.05,-18.44
"2022-12-22 22:00:00",276,"Site 1",36.06351,-97.21697,330,12.95,-18.44
"2022-12-22 23:00:00",277,"Site 1",36.06351,-97.21697,330,12.87,-18.59
"2022-12-23 00:00:00",278,"Site 1",36.06351,-97.21697,330,12.81,-18.51
"2022-12-23 01:00:00",279,"Site 1",36.06351,-97.21697,330,12.76,-18.55
"2022-12-23 02:00:00",280,"Site 1",36.06351,-97.21697,330,12.73,-18.69
"2022-12-23 03:00:00",281,"Site 1",36.06351,-97.21697,330,12.7,-18.7
"2022-12-23 04:00:00",282,"Site 1",36.06351,-97.21697,330,12.68,-18.7
"2022-12-23 05:00:00",283,"Site 1",36.06351,-97.21697,330,12.65,-18.59
"2022-12-23 06:00:00",284,"Site 1",36.06351,-97.21697,330,12.64,-17.88
"2022-12-23 07:00:00",285,"Site 1",36.06351,-97.21697,330,12.62,-17.74
"2022-12-23 08:00:00",286,"Site 1",36.06351,-97.21697,330,12.61,-17.35
"2022-12-23 09:00:00",287,"Site 1",36.06351,-97.21697,330,12.79,-16.06
"2022-12-23 10:00:00",288,"Site 1",36.06351,-97.21697,330,13.17,-11.27
"2022-12-23 11:00:00",289,"Site 1",36.06351,-97.21697,330,14.47,-8.51
"2022-12-23 12:00:00",290,"Site 1",36.06351,-97.21697,330,14.39,-5.805
"2022-12-23 13:00:00",291,"Site 1",36.06351,-97.21697,330,14.35,-3.682
"2022-12-23 14:00:00",292,"Site 1",36.06351,-97.21697,330,14.35,-5.256
"2022-12-23 15:00:00",293,"Site 1",36.06351,-97.21697,330,14.35,-4.593
"2022-12-23 16:00:00",294,"Site 1",36.06351,-97.21697,330,14.35,-5.047
"2022-12-23 17:00:00",295,"Site 1",36.06351,-97.21697,330,14.35,-6.556
"2022-12-23 18:00:00",296,"Site 1",36.06351,-97.21697,330,13.46,-11.87
"2022-12-23 19:00:00",297,"Site 1",36.06351,-97.21697,330,13.23,-13.28
"2022-12-23 20:00:00",298,"Site 1",36.06351,-97.21697,330,13.08,-13.53
"2022-12-23 21:00:00",299,"Site 1",36.06351,-97.21697,330,12.98,-14.74
"2022-12-23 22:00:00",300,"Site 1",36.06351,-97.21697,330,12.9,-15.36
"2022-12-23 23:00:00",301,"Site 1",36.06351,-97.21697,330,12.84,-15.26
"2022-12-24 00:00:00",302,"Site 1",36.06351,-97.21697,330,12.8,-15.88
"2022-12-24 01:00:00",303,"Site 1",36.06351,-97.21697,330,12.77,-16.18
"2022-12-24 02:00:00",304,"Site 1",36.06351,-97.21697,330,12.75,-16.24
"2022-12-24 03:00:00",305,"Site 1",36.06351,-97.21697,330,12.73,-15.69
"2022-12-24 04:00:00",306,"Site 1",36.06351,-97.21697,330,12.72,-16.28
"2022-12-24 05:00:00",307,"Site 1",36.06351,-97.21697,330,12.7,-16.06
"2022-12-24 06:00:00",308,"Site 1",36.06351,-97.21697,330,12.7,-15.11
"2022-12-24 07:00:00",309,"Site 1",36.06351,-97.21697,330,12.69,-14.32
"2022-12-24 08:00:00",310,"Site 1",36.06351,-97.21697,330,12.68,-14.61
"2022-12-24 09:00:00",311,"Site 1",36.06351,-97.21697,330,13.15,-9.39
"2022-12-24 10:00:00",312,"Site 1",36.06351,-97.21697,330,14.31,-2.212
"2022-12-24 11:00:00",313,"Site 1",36.06351,-97.21697,330,14.2,1.021
"2022-12-24 12:00:00",314,"Site 1",36.06351,-97.21697,330,14.16,3.448
"2022-12-24 13:00:00",315,"Site 1",36.06351,-97.21697,330,14.08,5.626
"2022-12-24 14:00:00",316,"Site 1",36.06351,-97.21697,330,14.08,4.548
"2022-12-24 15:00:00",317,"Site 1",36.06351,-97.21697,330,14.08,4.344
"2022-12-24 16:00:00",318,"Site 1",36.06351,-97.21697,330,14.08,3.338
"2022-12-24 17:00:00",319,"Site 1",36.06351,-97.21697,330,13.88,-0.133
"2022-12-24 18:00:00",320,"Site 1",36.06351,-97.21697,330,13.23,-5.904
"2022-12-24 19:00:00",321,"Site 1",36.06351,-97.21697,330,13.04,-8.27
"2022-12-24 20:00:00",322,"Site 1",36.06351,-97.21697,330,12.94,-9.02
"2022-12-24 21:00:00",323,"Site 1",36.06351,-97.21697,330,12.87,-9.3
"2022-12-24 22:00:00",324,"Site 1",36.06351,-97.21697,330,12.83,-9.27
"2022-12-24 23:00:00",325,"Site 1",36.06351,-97.21697,330,12.8,-9.91
"2022-12-25 00:00:00",326,"Site 1",36.06351,-97.21697,330,12.78,-10.64
"2022-12-25 01:00:00",327,"Site 1",36.06351,-97.21697,330,12.76,-11.75
"2022-12-25 02:00:00",328,"Site 1",36.06351,-97.21697,330,12.74,-11.45
"2022-12-25 03:00:00",329,"Site 1",36.06351,-97.21697,330,12.73,-11.26
"2022-12-25 04:00:00",330,"Site 1",36.06351,-97.21697,330,12.72,-11.22
"2022-12-25 05:00:00",331,"Site 1",36.06351,-97.21697,330,12.71,-11.85
"2022-12-25 06:00:00",332,"Site 1",36.06351,-97.21697,330,12.71,-12.13
"2022-12-25 07:00:00",333,"Site 1",36.06351,-97.21697,330,12.7,-12.53
"2022-12-25 08:00:00",334,"Site 1",36.06351,-97.21697,330,12.7,-11.83
"2022-12-25 09:00:00",335,"Site 1",36.06351,-97.21697,330,14.38,-5.943
"2022-12-25 10:00:00",336,"Site 1",36.06351,-97.21697,330,14.23,0.33
"2022-12-25 11:00:00",337,"Site 1",36.06351,-97.21697,330,14.16,3.672
"2022-12-25 12:00:00",338,"Site 1",36.06351,-97.21697,330,14.09,6.492
"2022-12-25 13:00:00",339,"Site 1",36.06351,-97.21697,330,14.01,8.5
"2022-12-25 14:00:00",340,"Site 1",36.06351,-97.21697,330,14.01,6.137
"2022-12-25 15:00:00",341,"Site 1",36.06351,-97.21697,330,14.01,6.451
"2022-12-25 16:00:00",342,"Site 1",36.06351,-97.21697,330,13.77,4.875
"2022-12-25 17:00:00",343,"Site 1",36.06351,-97.21697,330,13.48,3.237
"2022-12-25 18:00:00",344,"Site 1",36.06351,-97.21697,330,13.13,0.462
"2022-12-25 19:00:00",345,"Site 1",36.06351,-97.21697,330,12.98,-0.913
"2022-12-25 20:00:00",346,"Site 1",36.06351,-97.21697,330,12.9,1.161
"2022-12-25 21:00:00",347,"Site 1",36.06351,-97.21697,330,12.86,1.894
"2022-12-25 22:00:00",348,"Site 1",36.06351,-97.21697,330,12.83,2.497
"2022-12-25 23:00:00",349,"Site 1",36.06351,-97.21697,330,12.82,1.87
"2022-12-26 00:00:00",350,"Site 1",36.06351,-97.21697,330,12.8,1.675
"2022-12-26 01:00:00",351,"Site 1",36.06351,-97.21697,330,12.79,0.855
"2022-12-26 02:00:00",352,"Site 1",36.06351,-97.21697,330,12.78,0.678
"2022-12-26 03:00:00",353,"Site 1",36.06351,-97.21697,330,12.77,1.051
"2022-12-26 04:00:00",354,"Site 1",36.06351,-97.21697,330,12.77,0.573
"2022-12-26 05:00:00",355,"Site 1",36.06351,-97.21697,330,12.76,-0.267
"2022-12-26 06:00:00",356,"Site 1",36.06351,-97.21697,330,12.75,-0.313
"2022-12-26 07:00:00",357,"Site 1",36.06351,-97.21697,330,12.74,0.167
"2022-12-26 08:00:00",358,"Site 1",36.06351,-97.21697,330,12.74,-1.397
"2022-12-26 09:00:00",359,"Site 1",36.06351,-97.21697,330,13.89,5.267
"2022-12-26 10:00:00",360,"Site 1",36.06351,-97.21697,330,13.95,10.72
"2022-12-26 11:00:00",361,"Site 1",36.06351,-97.21697,330,13.95,10.34
"2022-12-26 12:00:00",362,"Site 1",36.06351,-97.21697,330,13.98,9.28
"2022-12-26 13:00:00",363,"Site 1",36.06351,-97.21697,330,13.98,7.442
"2022-12-26 14:00:00",364,"Site 1",36.06351,-97.21697,330,14.05,3.109
"2022-12-26 15:00:00",365,"Site 1",36.06351,-97.21697,330,14.12,1.908
"2022-12-26 16:00:00",366,"Site 1",36.06351,-97.21697,330,14.12,0.633
"2022-12-26 17:00:00",367,"Site 1",36.06351,-97.21697,330,14.16,-2.469
"2022-12-26 18:00:00",368,"Site 1",36.06351,-97.21697,330,13.49,-7.116
"2022-12-26 19:00:00",369,"Site 1",36.06351,-97.21697,330,13.26,-8.78
"2022-12-26 20:00:00",370,"Site 1",36.06351,-97.21697,330,13.12,-10.21
"2022-12-26 21:00:00",371,"Site 1",36.06351,-97.21697,330,13,-11.32
"2022-12-26 22:00:00",372,"Site 1",36.06351,-97.21697,330,12.92,-12.29
"2022-12-26 23:00:00",373,"Site 1",36.06351,-97.21697,330,12.85,-12.94
"2022-12-27 00:00:00",374,"Site 1",36.06351,-97.21697,330,12.8,-13.34
"2022-12-27 01:00:00",375,"Site 1",36.06351,-97.21697,330,12.77,-12.92
"2022-12-27 02:00:00",376,"Site 1",36.06351,-97.21697,330,12.74,-12.29
"2022-12-27 03:00:00",377,"Site 1",36.06351,-97.21697,330,12.73,-11.4
"2022-12-27 04:00:00",378,"Site 1",36.06351,-97.21697,330,12.72,-10.88
"2022-12-27 05:00:00",379,"Site 1",36.06351,-97.21697,330,12.71,-10.93
"2022-12-27 06:00:00",380,"Site 1",36.06351,-97.21697,330,12.7,-10.81
"2022-12-27 07:00:00",381,"Site 1",36.06351,-97.21697,330,12.7,-11.12
"2022-12-27 08:00:00",382,"Site 1",36.06351,-97.21697,330,12.7,-10.58
"2022-12-27 09:00:00",383,"Site 1",36.06351,-97.21697,330,14.38,-5.116
"2022-12-27 10:00:00",384,"Site 1",36.06351,-97.21697,330,14.19,1.152
"2022-12-27 11:00:00",385,"Site 1",36.06351,-97.21697,330,14.09,5.455
"2022-12-27 12:00:00",386,"Site 1",36.06351,-97.21697,330,13.99,10.17
